"term" "estimate" "std.error" "statistic" "p.value"
"1" "(Intercept)" -0.0419348001786242 0.0700118233419438 -0.59896740545966 0.549194620413871
"2" "Nfactors1" 0.0315434858584545 0.0766915036816316 0.41130352573866 0.680849984618317
"3" "Nfactors3" 0.159386427055632 0.0990850386757699 1.60858217532904 0.107707734376997
"4" "Nfactors5" 0.416058512159446 0.0998579821528172 4.16650229846156 3.09308775629618e-05
"5" "(phi)" 101.043827052598 17.7747654449458 5.68467850479173 1.31058969135307e-08
"6" "(Intercept)" 0.0464945658149875 0.114800554391845 0.405002972862736 0.685475325715714
"7" "Nfactors1" 0.236449264367853 0.128591392716543 1.83876431674602 0.0659498588044617
"8" "Nfactors3" 0.407781763982782 0.164311360305477 2.48176244919803 0.0130734397228347
"9" "Nfactors5" 0.838895946092224 0.170016318168323 4.93420840499372 8.04764756435074e-07
"10" "(phi)" 29.3436597741033 4.88078339822796 6.01207990191839 1.83158001008649e-09
"11" "(Intercept)" 6.201 0.0737816187998561 84.0453232236765 7.69572484290438e-69
"12" "Nfactors1" 0.131 0.0824903575632274 1.58806439770358 0.117051332380201
"13" "Nfactors3" 0.158000000000001 0.104342965960598 1.51423719409763 0.134740236113803
"14" "Nfactors5" 0.215 0.104342965960598 2.06051263753791 0.0432949654514854
"15" "(Intercept)" 55.435369093 4.15293156779496 13.3484908643544 2.72843227459556e-20
"16" "Nfactors1" -10.94272931475 4.64311864574716 -2.35676280311573 0.0214584733773263
"17" "Nfactors3" -22.398268363 6.03406967448606 -3.71196714179601 0.000428786039466992
"18" "Nfactors5" -31.025976873 5.87313214678301 -5.28269688091293 1.58164815173912e-06
